"","id2","totalPop17","age65_17","ageMed_17","totalPop12","percage65_12","ageMed_12","age65_12","totalChange","age65Change","percentChange","age65ChangeZ","percentChangeZ","age65_index"
"1","01001",55036,7843,37.8,54590,12.3,37,6715,446,1128,16.8,-0.16,0.28,0.104
"2","01003",203360,38687,42.6,183226,16.9,41.2,30965,20134,7722,24.94,0.79,0.94,0.88
"3","01005",26201,4571,39.7,27469,14.6,38.2,4010,-1268,561,13.99,-0.24,0.04,-0.072
"4","01007",22580,3402,39.8,22769,12.9,39.4,2937,-189,465,15.83,-0.26,0.2,0.016
"5","01009",57667,10008,40.9,57466,14.9,39.1,8562,201,1446,16.89,-0.12,0.28,0.12
"6","01011",10478,1590,40.8,10779,13.9,40.7,1498,-301,92,6.14,-0.31,-0.6,-0.484
"7","01013",20126,3731,40.7,20730,16.8,40.3,3483,-604,248,7.12,-0.29,-0.52,-0.428
"8","01015",115527,19005,39.1,117834,14.6,38.7,17204,-2307,1801,10.47,-0.06,-0.24,-0.168
"9","01017",33895,6300,43,34228,16.8,41.4,5750,-333,550,9.57,-0.25,-0.32,-0.292
"10","01019",25855,5422,46.1,25917,18.1,44.3,4691,-62,731,15.58,-0.22,0.18,0.02
"11","01021",43805,6790,38.9,43611,13.7,37.6,5975,194,815,13.64,-0.21,0.02,-0.072
"12","01023",13188,2836,45.8,13838,18.6,44,2574,-650,262,10.18,-0.29,-0.27,-0.278
"13","01025",24625,4544,42.2,25768,16.1,39.9,4149,-1143,395,9.52,-0.27,-0.32,-0.3
"14","01027",13407,2608,43.8,13828,17.8,41.7,2461,-421,147,5.97,-0.3,-0.61,-0.486
"15","01029",14939,2760,41.7,14905,16.2,41.2,2415,34,345,14.29,-0.28,0.07,-0.07
"16","01031",51073,8152,39.3,49966,14.6,37.8,7295,1107,857,11.75,-0.2,-0.14,-0.164
"17","01033",54435,10290,42.5,54451,17.4,41.7,9474,-16,816,8.61,-0.21,-0.4,-0.324
"18","01035",12649,2664,44.5,13188,18.3,43.3,2413,-539,251,10.4,-0.29,-0.25,-0.266
"19","01037",10955,2304,45.9,11305,17.1,44.4,1933,-350,371,19.19,-0.27,0.47,0.174
"20","01039",37519,7613,43.4,37803,18.8,42.5,7107,-284,506,7.12,-0.25,-0.52,-0.412
"21","01041",13866,2487,41.4,13971,15.9,40.3,2221,-105,266,11.98,-0.29,-0.12,-0.188
"22","01043",81703,14508,40.6,80403,16.1,40.1,12945,1300,1563,12.07,-0.1,-0.11,-0.106
"23","01045",49393,7798,37.1,50129,13.7,36,6868,-736,930,13.54,-0.19,0.01,-0.07
"24","01047",40755,6627,39.3,43572,14.1,37.3,6144,-2817,483,7.86,-0.26,-0.46,-0.38
"25","01049",71194,11415,39,70949,14,37.9,9933,245,1482,14.92,-0.11,0.12,0.028
"26","01051",80989,11420,38.5,79330,12,37.7,9520,1659,1900,19.96,-0.05,0.53,0.298
"27","01053",37621,6413,39.6,38122,15.1,38.7,5756,-501,657,11.41,-0.23,-0.17,-0.194
"28","01055",103132,18407,40.9,104317,15.9,40.2,16586,-1185,1821,10.98,-0.06,-0.2,-0.144
"29","01057",16657,3339,43.6,17219,18.2,43.1,3134,-562,205,6.54,-0.3,-0.57,-0.462
"30","01059",31507,5139,37.7,31664,14.9,38.3,4718,-157,421,8.92,-0.26,-0.37,-0.326
"31","01061",26572,5059,42.7,26769,17.6,42.2,4711,-197,348,7.39,-0.28,-0.5,-0.412
"32","01063",8533,1653,42,9067,16.1,41.4,1460,-534,193,13.22,-0.3,-0.02,-0.132
"33","01065",14995,2710,39.8,15750,15.2,40.4,2394,-755,316,13.2,-0.28,-0.02,-0.124
"34","01067",17110,3588,43.5,17275,18.1,42.9,3127,-165,461,14.74,-0.26,0.11,-0.038
"35","01069",104108,17203,39.6,101459,14.5,38.3,14712,2649,2491,16.93,0.04,0.29,0.19
"36","01071",52326,9808,43,53279,16.5,41.4,8791,-953,1017,11.57,-0.18,-0.15,-0.162
"37","01073",659460,96497,37.6,658464,13.2,37,86917,996,9580,11.02,1.06,-0.2,0.304
"38","01075",14021,2889,44.5,14513,18.8,42.6,2728,-492,161,5.9,-0.3,-0.62,-0.492
"39","01077",92590,17483,41.5,92528,16.9,40.4,15637,62,1846,11.81,-0.06,-0.13,-0.102
"40","01079",33288,5607,42,34148,14.4,41,4917,-860,690,14.03,-0.23,0.05,-0.062
"41","01081",156597,16836,31,140938,9.1,29.6,12825,15659,4011,31.27,0.26,1.46,0.98
"42","01083",91695,13135,39.1,83313,12.4,38.7,10331,8382,2804,27.14,0.08,1.12,0.704
"43","01085",10362,1801,40.7,11304,14.7,40.7,1662,-942,139,8.36,-0.31,-0.42,-0.376
"44","01087",19358,3440,38,21214,14.3,36.6,3034,-1856,406,13.38,-0.27,0,-0.108
"45","01089",353213,49381,38.2,334661,12.3,37.3,41163,18552,8218,19.96,0.86,0.53,0.662
"46","01091",19743,3688,42.1,20909,17,41.1,3555,-1166,133,3.74,-0.31,-0.79,-0.598
"47","01093",30058,6141,44.1,30641,18.7,43.2,5730,-583,411,7.17,-0.27,-0.51,-0.414
"48","01095",94738,15694,38.8,93070,14.9,38.1,13867,1668,1827,13.18,-0.06,-0.02,-0.036
"49","01097",414328,61878,37.3,412297,13,36.6,53599,2031,8279,15.45,0.87,0.16,0.444
"50","01099",21745,4048,41.7,22993,15.7,40,3610,-1248,438,12.13,-0.26,-0.11,-0.17
"51","01101",227120,31204,35.9,229376,12,34.7,27525,-2256,3679,13.37,0.21,-0.01,0.078
"52","01103",119157,19376,40.1,119330,14.2,38.7,16945,-173,2431,14.35,0.03,0.07,0.054
"53","01105",9680,1791,37.6,10525,16.8,37,1768,-845,23,1.3,-0.32,-0.99,-0.722
"54","01107",20170,3642,42.1,19646,17,41.4,3340,524,302,9.04,-0.28,-0.36,-0.328
"55","01109",33287,4744,31.4,32750,12.8,31.3,4192,537,552,13.17,-0.25,-0.02,-0.112
"56","01111",22530,4429,42.7,22843,17.5,40.7,3998,-313,431,10.78,-0.26,-0.22,-0.236
"57","01113",58480,7587,35.3,53938,12.6,35.6,6796,4542,791,11.64,-0.21,-0.15,-0.174
"58","01115",86937,13476,40.1,83530,13.3,38.8,11109,3407,2367,21.31,0.02,0.64,0.392
"59","01117",208721,28571,38.5,195237,10.8,36.9,21086,13484,7485,35.5,0.76,1.81,1.39
"60","01119",13084,2151,35.9,13669,15,37.1,2050,-585,101,4.93,-0.31,-0.7,-0.544
"61","01121",80888,13381,40.6,82194,14.2,39.4,11672,-1306,1709,14.64,-0.08,0.1,0.028
"62","01123",40756,8100,43.3,41534,17.5,41.8,7268,-778,832,11.45,-0.21,-0.16,-0.18
"63","01125",204424,24738,32.3,194254,10.9,31.4,21174,10170,3564,16.83,0.19,0.28,0.244
"64","01127",64927,11854,42.3,67016,16.4,41.5,10991,-2089,863,7.85,-0.2,-0.46,-0.356
"65","01129",16746,2893,43.5,17407,14.8,39.5,2576,-661,317,12.31,-0.28,-0.09,-0.166
"66","01131",10919,1945,40.5,11706,15.2,38.8,1779,-787,166,9.33,-0.3,-0.34,-0.324
"67","01133",23968,4938,44.6,24432,18,43.1,4398,-464,540,12.28,-0.25,-0.1,-0.16
"68","02013",3338,274,42.7,3114,3.8,40.7,118,224,156,132.2,-0.3,9.73,5.718
"69","02016",5784,319,37.7,5507,5.6,39.1,308,277,11,3.57,-0.32,-0.81,-0.614
"70","02020",298225,28148,33.1,291470,7.5,32.9,21860,6755,6288,28.76,0.58,1.26,0.988
"71","02050",17957,1267,26.9,17184,5.9,26.1,1014,773,253,24.95,-0.29,0.94,0.448
"72","02060",917,89,41.8,929,9.5,42.7,88,-12,1,1.14,-0.33,-1.01,-0.738
"73","02068",2303,174,38.4,1917,5.9,41.4,113,386,61,53.98,-0.32,3.32,1.864
"74","02070",4974,402,30.1,4887,7.5,28.6,367,87,35,9.54,-0.32,-0.32,-0.32
"75","02090",100031,8659,31,97523,6.5,30.7,6339,2508,2320,36.6,0.01,1.9,1.144
"76","02100",2537,570,45,2500,13.9,42.9,348,37,222,63.79,-0.29,4.13,2.362
"77","02105",2146,408,48.9,2153,15,48.3,323,-7,85,26.32,-0.31,1.06,0.512
"78","02110",32434,3679,38,31636,8.3,37.8,2626,798,1053,40.1,-0.17,2.18,1.24
"79","02122",57961,8577,40.6,55474,11.3,40.9,6269,2487,2308,36.82,0.01,1.92,1.156
"80","02130",13745,1861,39.5,13525,9.8,38.4,1325,220,536,40.45,-0.25,2.21,1.226
"81","02150",13773,1207,33.1,13710,6.9,31.5,946,63,261,27.59,-0.29,1.16,0.58
"82","02158",8129,439,24,,,,,,,,,,
"83","02164",1301,98,32.3,1551,6.8,28.7,105,-250,-7,-6.67,-0.33,-1.65,-1.122
"84","02170",101135,10218,34.9,89319,8,34.8,7146,11816,3072,42.99,0.12,2.42,1.5
"85","02180",9869,719,27.9,9580,6.3,28,604,289,115,19.04,-0.31,0.46,0.152
"86","02185",9757,595,34.6,9317,4.3,34.2,401,440,194,48.38,-0.3,2.86,1.596
"87","02188",7715,559,26.6,7601,6.2,25.7,471,114,88,18.68,-0.31,0.43,0.134
"88","02195",3275,548,41.7,3822,10.3,42.2,394,-547,154,39.09,-0.3,2.1,1.14
"89","02198",6473,895,41,5603,10,39,560,870,335,59.82,-0.28,3.8,2.168
"90","02220",8810,1225,38.9,8909,11,38.8,980,-99,245,25,-0.29,0.95,0.454
"91","02230",1038,117,42.9,1050,8.8,46.7,92,-12,25,27.17,-0.32,1.12,0.544
"92","02240",6889,840,36.6,7039,9.2,36.3,648,-150,192,29.63,-0.3,1.33,0.678
"93","02261",9439,1118,40,9614,8.4,39.6,808,-175,310,38.37,-0.28,2.04,1.112
"94","02275",2475,555,49.1,2368,20.4,50.8,483,107,72,14.91,-0.32,0.12,-0.056
"95","02282",682,95,39.4,644,8.7,39.1,56,38,39,69.64,-0.32,4.6,2.632
"96","02290",5453,685,34.7,5637,10.8,35.6,609,-184,76,12.48,-0.31,-0.08,-0.172
"97","04001",71602,9887,34.2,71618,11.8,32.1,8451,-16,1436,16.99,-0.12,0.29,0.126
"98","04003",126516,25825,40.5,131118,17.4,39.9,22815,-4602,3010,13.19,0.11,-0.02,0.032
"99","04005",138639,15433,30.6,134011,9.1,30.9,12195,4628,3238,26.55,0.14,1.07,0.698
"100","04007",53145,14355,49.3,53436,23.3,47.8,12451,-291,1904,15.29,-0.05,0.15,0.07
"101","04009",37700,4849,33.1,37115,11.6,31.8,4305,585,544,12.64,-0.25,-0.07,-0.142
"102","04011",9368,1106,33.4,8592,11.8,33.7,1014,776,92,9.07,-0.31,-0.36,-0.34
"103","04012",20477,7639,56,20460,33.2,54.1,6793,17,846,12.45,-0.2,-0.08,-0.128
"104","04013",4155501,586644,36,3841819,12.2,34.6,468702,313682,117942,25.16,16.75,0.96,7.276
"105","04015",204691,57356,50.4,201216,23.3,47.4,46883,3475,10473,22.34,1.19,0.73,0.914
"106","04017",107902,17550,35.9,107415,13.4,34.8,14394,487,3156,21.93,0.13,0.7,0.472
"107","04019",1007257,182720,38.2,981048,15.6,37.7,153043,26209,29677,19.39,3.97,0.49,1.882
"108","04021",405537,75576,38.5,368374,14.4,35.8,53046,37163,22530,42.47,2.94,2.38,2.604
"109","04023",46358,7572,36.6,47057,13.5,35.5,6353,-699,1219,19.19,-0.15,0.47,0.222
"110","04025",220972,63907,52.2,211280,24.3,49.3,51341,9692,12566,24.48,1.49,0.9,1.136
"111","04027",204281,35943,34.1,196420,16,33.6,31427,7861,4516,14.37,0.33,0.08,0.18
"112","05001",18352,3321,40.9,19029,16.6,41.5,3159,-677,162,5.13,-0.3,-0.68,-0.528
"113","05003",20771,3878,41.8,21811,16.3,39.5,3555,-1040,323,9.09,-0.28,-0.36,-0.328
"114","05005",41093,12528,51.8,41387,28.1,50.8,11630,-294,898,7.72,-0.2,-0.47,-0.362
"115","05007",251823,32666,35.2,222028,12.2,34.5,27087,29795,5579,20.6,0.48,0.59,0.546
"116","05009",37212,7350,42.2,37032,18.3,41.4,6777,180,573,8.46,-0.24,-0.41,-0.342
"117","05011",10994,2018,40.6,11510,17.3,40.2,1991,-516,27,1.36,-0.32,-0.99,-0.722
"118","05013",5194,1092,45.2,5373,17.8,42.4,956,-179,136,14.23,-0.31,0.06,-0.088
"119","05015",27782,5980,44.6,27321,18.9,44.2,5164,461,816,15.8,-0.21,0.19,0.03
"120","05017",11008,2117,43.3,11759,18.2,42.5,2140,-751,-23,-1.07,-0.33,-1.19,-0.846
"121","05019",22495,3507,33.8,23050,15,33.6,3458,-555,49,1.42,-0.32,-0.98,-0.716
"122","05021",15190,3172,43.4,15981,20.1,42.9,3212,-791,-40,-1.25,-0.33,-1.2,-0.852
